#assembly_accession,species_taxid
GCF_055383595.1,7
GCF_039386055.1,9
GCF_000218545.1,11
GCF_000020965.1,14
GCF_003854875.1,17
GCF_000012885.1,19
GCF_017068195.1,24
GCF_052779095.1,34
GCF_000219105.1,35
GCF_000165485.1,41
GCF_044360605.1,43
GCF_001027285.1,48
GCF_001189295.1,52
GCF_000418325.1,56
GCF_022870945.1,61
GCF_002222655.1,63
GCF_017355525.1,69
GCF_002951835.1,72
GCF_965279145.1,78
GCF_017792385.1,87
GCF_006738645.1,94
GCF_000222485.1,104
GCF_000218895.1,106
GCF_000024525.1,108
GCF_008065095.1,114
GCF_000165715.2,119
GCF_000092105.1,120
GCF_008298035.1,122
GCF_000186345.1,128
GCF_009685195.1,134
GCF_002151505.1,139
GCF_020422925.2,140
GCF_000512145.1,141
GCF_003568645.1,142
GCF_000568655.1,143
GCF_000568755.1,144
GCF_000147075.1,154
GCF_000340725.1,158
GCF_033555435.1,159
GCF_001713135.1,160
GCF_017161285.1,162
GCF_036492245.1,163
GCF_036250655.1,165
GCF_000195275.1,167
GCF_000017605.1,172
GCF_052161725.1,173
GCF_024704545.1,174
GCF_000284315.1,180
GCF_005222205.1,192
GCF_000283655.1,193
GCF_014705905.1,195
GCF_011600845.2,196
GCF_037705215.1,197
GCF_001643955.1,198
GCF_054995815.1,199
GCF_013372125.1,200
GCF_024705265.2,201
GCF_013372205.1,202
GCF_004803795.1,203
GCF_004803815.1,204
GCF_008245005.1,206
GCF_003636855.2,210
GCF_900198455.1,212
GCF_003213825.2,213
GCF_000200595.1,214
GCF_000091985.1,217
GCF_004328865.1,227
GCF_000740135.1,235
GCF_000016845.1,236
GCF_002887275.1,238
GCF_965284515.1,239
GCF_049959445.1,246
GCF_009834475.1,247
GCF_004328965.1,250
GCF_050595915.1,253
GCF_016657085.1,254
GCF_016726985.1,256
GCF_016724845.1,258
GCF_035599675.1,259
GCF_010232785.1,263
GCF_021044605.1,266
GCF_001399775.1,271
GCF_036687335.1,274
GCF_000024425.1,277
GCF_020683165.1,280
GCF_014076415.1,285
GCF_052695705.1,287
GCF_002374815.1,288
GCF_029030725.1,290
GCF_029962485.1,292
GCF_050995065.1,293
GCF_977010515.1,294
GCF_015767515.1,296
GCF_003574215.1,297
GCF_034424355.1,298
GCF_054977385.1,300
GCF_041378955.2,301
GCF_026428315.1,303
GCF_003515445.1,305
GCF_000267545.1,316
GCF_004006335.1,317
GCF_016466415.2,329
GCF_024760605.1,337
GCF_045709795.1,339
GCF_017301715.1,343
GCF_040202415.2,346
GCF_029026965.1,347
GCF_000817975.1,353
GCF_000380335.1,354
GCF_013318055.2,358
GCF_017584205.1,359
GCF_054788375.1,362
GCF_037039395.1,373
GCF_030584865.1,375
GCF_900011245.1,376
GCF_002944405.1,380
GCF_013170845.1,381
GCF_034634195.1,382
GCF_011604485.1,384
GCF_001664125.1,396
GCF_000330885.1,398
GCF_021391675.1,399
GCF_000013705.1,405
GCF_055385145.1,406
GCF_000021845.1,408
GCF_022533465.1,410
GCF_949769275.1,414
GCF_000214665.1,421
GCF_030062355.1,426
GCF_055390975.1,428
GCF_002005445.1,435
GCF_055395805.1,436
GCF_000010865.1,438
GCF_030450005.1,442
GCF_045999325.1,446
GCF_000953655.1,449
GCF_002113845.3,450
GCF_000953635.1,451
GCF_900186965.1,452
GCF_007361795.1,454
GCF_900637635.1,456
GCF_000236145.1,463
GCF_008931365.1,470
GCF_021165835.1,471
GCF_965261865.1,472
GCF_025983385.1,476
GCF_016127895.1,478
GCF_003443975.1,480
GCF_900475315.1,483
GCF_005221285.1,484
GCF_900186915.1,485
GCF_003351565.1,486
GCF_052161795.1,487
GCF_013267835.1,488
GCF_003355195.1,489
GCF_017753665.1,490
GCF_900636515.1,492
GCF_900636765.1,493
GCF_047839125.1,494
GCF_003351685.1,495
GCF_022749495.1,496
GCF_000021685.1,500
GCF_016127355.1,502
GCF_022871005.1,504
GCF_014054985.1,505
GCF_009497775.1,511
GCF_900637995.1,518
GCF_004008035.1,519
GCF_001985205.1,520
GCF_000070465.1,521
GCF_000016725.1,524
GCF_030518775.1,529
GCF_000019845.1,533
GCF_002735945.1,536
GCF_004194535.1,537
GCF_900187105.1,539
GCF_000175255.2,542
GCF_032938575.1,545
GCF_036289105.1,546
GCF_023464655.1,548
GCF_009762725.1,549
GCF_019265105.1,550
GCF_023612795.1,552
GCF_041320325.1,553
GCF_021049225.1,554
GCF_030370035.1,556
GCF_016889125.1,562
GCF_000262305.1,563
GCF_013894595.1,564
GCF_030166395.1,565
GCF_902164725.1,566
GCF_052662745.1,569
GCF_030506035.1,571
GCF_964199055.1,573
GCF_022637595.1,575
GCF_015571975.1,577
GCF_050908785.1,580
GCF_003071325.1,582
GCF_050613255.1,584
GCF_016647575.1,585
GCF_001874625.1,587
GCF_000754345.1,588
GCF_016728005.1,614
GCF_017298815.1,615
GCF_052400455.1,616
GCF_900635445.1,618
GCF_053901345.1,621
GCF_002950075.1,622
GCF_022353745.1,623
GCF_037043765.3,624
GCF_014295015.1,628
GCF_016727905.1,630
GCF_900635455.1,631
GCF_052374395.1,632
GCF_900636705.1,633
GCF_013282745.1,634
GCF_041315755.1,636
GCF_029873515.1,638
GCF_023823085.1,644
GCF_028355655.1,645
GCF_030505675.1,648
GCF_963425655.1,650
GCF_045012235.1,651
GCF_001447335.1,652
GCF_029773265.1,654
GCF_010906985.2,656
GCF_949787665.1,659
GCF_001469735.1,663
GCF_002997215.1,666
GCF_023983475.1,668
GCF_001558435.2,669
GCF_009649015.1,670
GCF_053890595.1,671
GCF_000039765.1,672
GCF_001558255.2,673
GCF_001767355.1,674
GCF_009763485.1,675
GCF_009763185.1,676
GCF_024442195.1,680
GCF_038452265.1,685
GCF_023920225.1,687
GCF_964264695.1,688
GCF_002214345.1,689
GCF_001680065.1,691
GCF_051201405.1,703
GCF_023517875.1,714
GCF_050319535.1,715
GCF_024205305.1,716
GCF_029773995.1,718
GCF_900635785.1,720
GCF_019973675.1,726
GCF_965209535.1,727
GCF_012850455.1,728
GCF_014931415.1,729
GCF_054300835.1,730
GCF_016415085.1,731
GCF_000022985.1,732
GCF_008330025.1,735
GCF_009831435.1,738
GCF_900476035.1,739
GCF_001721885.1,747
GCF_046115485.1,750
GCF_020810595.1,753
GCF_900186835.1,754
GCF_052828485.1,761
GCF_900635775.1,762
GCF_000024505.1,769
GCF_000495495.1,770
GCF_009498695.1,774
GCF_977964255.1,777
GCF_013461715.1,779
GCF_000007025.1,781
GCF_000277245.1,782
GCF_044058165.1,783
GCF_000063545.1,784
GCF_000008045.1,785
GCF_000018205.1,786
GCF_000284155.1,787
GCF_000283915.1,788
GCF_900475345.1,803
GCF_900638615.1,807
GCF_000068585.1,813
GCF_013267555.1,817
GCF_041014885.1,818
GCF_018292165.1,820
GCF_008728395.1,821
GCF_024328725.2,823
GCF_020736185.1,824
GCF_000024405.1,826
GCF_016766895.1,827
GCF_037113525.1,831
GCF_000024665.1,833
GCF_001263815.1,837
GCF_018389405.1,839
GCF_900637325.1,844
GCF_002128345.1,847
GCF_003019695.1,849
GCF_003019315.1,850
GCF_037890135.1,851
GCF_019967975.1,853
GCF_037953465.1,856
GCF_003732525.1,859
GCF_003019755.1,860
GCF_900478315.1,861
GCF_000014725.1,863
GCF_050916285.1,865
GCF_000015345.1,870
GCF_000212675.2,873
GCF_021365555.1,876
GCF_000468495.1,879
GCF_000023445.1,880
GCF_000166115.1,881
GCF_000186885.1,894
GCF_002009335.2,897
GCF_000023225.1,899
GCF_053477135.1,901
GCF_020735645.1,905
GCF_000283495.2,907
GCF_000013885.1,912
GCF_000012725.1,913
GCF_000009145.1,915
GCF_000014765.1,916
GCF_049532655.1,920
GCF_000092925.1,921
GCF_013693775.1,924
GCF_002028405.1,926
GCF_000024765.1,927
GCF_048300925.1,929
GCF_009662475.1,930
GCF_000164905.1,940
GCF_021869995.1,944
GCF_000632945.1,945
GCF_050955495.1,948
GCF_012790675.1,949
GCF_000022525.1,950
GCF_000013165.1,951
GCF_001653955.1,954
GCF_014107475.1,955
GCF_025558485.1,959
GCF_006874605.1,960
GCF_001721865.1,964
GCF_000284095.1,971
GCF_001941605.1,979
GCF_000023825.1,984
GCF_000014145.1,985
GCF_030388325.1,986
GCF_000242635.2,995
GCF_052422515.1,996
GCF_000265505.1,999
GCF_034424315.1,1004
GCF_000183425.1,1006
GCF_000250635.1,1008
GCF_050985415.1,1010
GCF_900637795.1,1014
GCF_002302415.1,1017
GCF_026013785.1,1018
GCF_002302595.1,1019
GCF_011765465.1,1042
GCF_000025485.1,1049
GCF_009664085.1,1050
GCF_002356555.2,1052
GCF_000015585.1,1053
GCF_047222355.1,1054
GCF_052362895.1,1061
GCF_000015985.1,1063
GCF_000166055.1,1069
GCF_003071405.1,1075
GCF_034479375.1,1076
GCF_001402875.1,1079
GCF_000284415.1,1084
GCF_019134555.1,1085
GCF_000020465.1,1092
GCF_008586845.1,1094
GCF_000015125.1,1096
GCF_000006985.1,1097
GCF_000012485.1,1100
GCF_000020625.1,1102
GCF_000018865.1,1108
GCF_001663175.1,1112
GCF_043099315.1,1124
GCF_000010625.1,1126
GCF_000478825.2,1147
GCF_000284135.1,1148
GCF_904830915.1,1160
GCF_000196515.1,1164
GCF_000317695.1,1165
GCF_012516395.1,1166
GCF_023734775.1,1178
GCF_022372495.1,1184
GCF_025677855.1,1188
GCF_000014265.1,1206
GCF_000015705.1,1219
GCF_000012805.1,1229
GCF_000196355.1,1231
GCF_001932895.1,1238
GCF_006770305.1,1244
GCF_054962255.1,1245
GCF_001698145.1,1246
GCF_009728955.1,1247
GCF_015689215.1,1249
GCF_000300135.1,1252
GCF_048629775.1,1254
GCF_052059785.1,1255
GCF_020736065.1,1260
GCF_050780165.1,1261
GCF_000179635.2,1264
GCF_004117015.1,1270
GCF_002250745.2,1272
GCF_002871575.2,1273
GCF_037331475.1,1274
GCF_900637715.1,1275
GCF_016889285.1,1276
GCF_022405295.1,1280
GCF_023277485.1,1281
GCF_022832915.1,1282
GCF_017355005.1,1283
GCF_042608505.1,1284
GCF_003006075.1,1286
GCF_054112965.1,1288
GCF_003812505.1,1290
GCF_900636385.1,1292
GCF_029774255.1,1293
GCF_900187005.1,1294
GCF_025558305.1,1295
GCF_025561165.1,1296
GCF_020546805.1,1299
