task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	18/2d23cb	26811159	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA (benchmark_10000)	COMPLETED	0	2026-05-02 06:02:37.719	6m 13s	4m 51s	13.9%	15.5 MB	44.7 MB	8.3 GB	8.3 GB
5	84/ab1d0c	26811164	NFCORE_CREATETAXDB:CREATETAXDB:SYLPH_SKETCHGENOMES (benchmark_10000)	COMPLETED	0	2026-05-02 06:03:07.243	6m 43s	41s	333.0%	1.2 GB	1.6 GB	23.4 GB	924.3 MB
3	0b/4d38cf	26811165	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_DNA (benchmark_10000)	COMPLETED	0	2026-05-02 06:03:13.525	8m 37s	6m 13s	13.2%	17.9 MB	40.7 MB	23.5 GB	23.4 GB
8	2b/7e1aa6	26811161	NFCORE_CREATETAXDB:CREATETAXDB:GANON_BUILDCUSTOM (benchmark_10000)	COMPLETED	0	2026-05-02 06:02:50.014	10m	7m 35s	500.5%	24.9 GB	30 GB	74.1 GB	43.2 GB
1	17/888e1c	26811156	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark_10000)	COMPLETED	0	2026-05-02 06:02:31.578	12m 19s	11m 15s	106.2%	83 MB	1.3 GB	8.3 GB	6.9 GB
12	bc/46c8c1	26811349	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA_KAIJU (benchmark_10000)	COMPLETED	0	2026-05-02 06:15:09.731	6m 41s	4m 5s	16.8%	10.9 MB	33.6 MB	6.9 GB	6.9 GB
4	54/1e7e1b	26811163	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_COMPUTE (benchmark_10000)	COMPLETED	0	2026-05-02 06:03:02.109	19m 48s	17m 32s	388.2%	2.2 GB	3 GB	23.4 GB	139.5 GB
9	87/d9ade5	26811245	NFCORE_CREATETAXDB:CREATETAXDB:DIAMOND_MAKEDB (benchmark_10000)	COMPLETED	0	2026-05-02 06:08:50.879	15m 59s	11m 50s	190.3%	3.7 GB	6.1 GB	57.2 GB	30.2 GB
10	67/e6b8e7	26811288	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_ADD (benchmark_10000)	COMPLETED	0	2026-05-02 06:11:50.540	23m	22m 7s	103.3%	84.9 MB	103.8 MB	99.7 GB	76.2 GB
14	c7/f43a6e	26811661	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_INDEX (benchmark_10000)	COMPLETED	0	2026-05-02 06:22:50.485	14m	2m 39s	1794.0%	2.6 GB	3.3 GB	139.5 GB	8.8 GB
13	e1/18d09c	26811652	NFCORE_CREATETAXDB:CREATETAXDB:KAIJU_MKFMI (benchmark_10000)	COMPLETED	0	2026-05-02 06:21:50.442	19m	14m 23s	417.2%	23.2 GB	30 GB	15.2 GB	17.7 GB
2	0a/0e25a3	26811160	NFCORE_CREATETAXDB:CREATETAXDB:METACACHE_BUILD (benchmark_10000)	COMPLETED	0	2026-05-02 06:02:43.469	1h 12m 7s	20m 44s	146.1%	43.4 GB	44 GB	36.4 GB	27.2 GB
11	af/802146	26811287	NFCORE_CREATETAXDB:CREATETAXDB:CENTRIFUGE_BUILD (benchmark_10000)	COMPLETED	0	2026-05-02 06:11:50.437	1h 38m	1h 32m 27s	779.2%	234.5 GB	335.3 GB	238.3 GB	195.8 GB
15	74/0cb8b4	26811838	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_BUILD (benchmark_10000)	COMPLETED	0	2026-05-02 06:34:50.939	2h 8m	1h 49m 13s	6671.0%	57.6 GB	65.1 GB	100.4 GB	78.6 GB
16	0d/c22dbd	26816253	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:BRACKEN_BUILD (benchmark_10000)	COMPLETED	0	2026-05-02 08:42:51.132	10m	8m 56s	1354.8%	62.9 GB	66.5 GB	61.2 GB	8.2 GB
6	64/124c45	26811162	NFCORE_CREATETAXDB:CREATETAXDB:KRAKENUNIQ_BUILD (benchmark_10000)	COMPLETED	0	2026-05-02 06:02:56.065	6h 18m 55s	6h 3m 24s	507.3%	248.3 GB	256.1 GB	631.4 GB	753.3 GB
17	a2/dd2ea2	26821979	NFCORE_CREATETAXDB:CREATETAXDB:MULTIQC (createtaxdb)	COMPLETED	0	2026-05-02 12:21:51.858	59.3s	10s	41.5%	203.5 MB	1.3 GB	60.3 MB	4.4 MB
