directory_size	nr_genomes	tool
2820	29807	multiqc
29637057	29807	kaiju
74957249	29807	metacache
177672518	29807	kraken2
1193234245	29807	krakenuniq
43743620	29807	kmcp
2840257	29807	sylph
53128705	29807	ganon
43401	29807	pipeline_info
27222785	29807	diamond
208661254	29807	bracken
33411138	29807	centrifuge
1844555048	29807	TOTAL
2820	20000	multiqc
19854145	20000	kaiju
53036481	20000	metacache
129637382	20000	kraken2
853430597	20000	krakenuniq
29195908	20000	kmcp
1902337	20000	sylph
36926721	20000	ganon
5251	20000	pipeline_info
18264577	20000	diamond
149060742	20000	bracken
22373634	20000	centrifuge
1313690594	20000	TOTAL
2820	10000	multiqc
9871553	10000	kaiju
28545985	10000	metacache
77575494	10000	kraken2
466926533	10000	krakenuniq
14424836	10000	kmcp
946049	10000	sylph
18932161	10000	ganon
4291	10000	pipeline_info
9130497	10000	diamond
86120454	10000	bracken
11135042	10000	centrifuge
723615714	10000	TOTAL
2820	5000	multiqc
4720129	5000	kaiju
15001409	5000	metacache
49489286	5000	kraken2
249344069	5000	krakenuniq
7069380	5000	kmcp
462337	5000	sylph
9943233	5000	ganon
3779	5000	pipeline_info
4506497	5000	diamond
52910342	5000	bracken
5440130	5000	centrifuge
398893410	5000	TOTAL
2820	2000	multiqc
1985793	2000	kaiju
6897217	2000	metacache
32736454	2000	kraken2
113767493	2000	krakenuniq
2909700	2000	kmcp
194433	2000	sylph
4395137	2000	ganon
3523	2000	pipeline_info
1950401	2000	diamond
33879750	2000	bracken
2293314	2000	centrifuge
201016034	2000	TOTAL
2820	1000	multiqc
949057	1000	kaiju
3639937	1000	metacache
26286406	1000	kraken2
61345733	1000	krakenuniq
1394052	1000	kmcp
92929	1000	sylph
2321345	1000	ganon
3395	1000	pipeline_info
978753	1000	diamond
26699526	1000	bracken
1100098	1000	centrifuge
124814050	1000	TOTAL
