2.8M	results_1000/multiqc
1.5K	results_1000/downstream_samplesheets
927M	results_1000/kaiju
3.5G	results_1000/metacache
26G	results_1000/kraken2
59G	results_1000/krakenuniq
1.4G	results_1000/kmcp
91M	results_1000/sylph
2.3G	results_1000/ganon
3.4M	results_1000/pipeline_info
956M	results_1000/diamond
26G	results_1000/bracken
1.1G	results_1000/centrifuge
120G	results_1000
2.8M	results_10000/multiqc
1.5K	results_10000/downstream_samplesheets
9.5G	results_10000/kaiju
28G	results_10000/metacache
74G	results_10000/kraken2
446G	results_10000/krakenuniq
9.3G	results_10000/kmcp
924M	results_10000/sylph
19G	results_10000/ganon
4.2M	results_10000/pipeline_info
8.8G	results_10000/diamond
83G	results_10000/bracken
11G	results_10000/centrifuge
686G	results_10000
2.8M	results_2000/multiqc
1.5K	results_2000/downstream_samplesheets
1.9G	results_2000/kaiju
6.6G	results_2000/metacache
32G	results_2000/kraken2
109G	results_2000/krakenuniq
2.8G	results_2000/kmcp
190M	results_2000/sylph
4.2G	results_2000/ganon
3.5M	results_2000/pipeline_info
1.9G	results_2000/diamond
33G	results_2000/bracken
2.2G	results_2000/centrifuge
192G	results_2000
2.8M	results_20000/multiqc
1.5K	results_20000/downstream_samplesheets
19G	results_20000/kaiju
51G	results_20000/metacache
124G	results_20000/kraken2
814G	results_20000/krakenuniq
19G	results_20000/kmcp
1.9G	results_20000/sylph
36G	results_20000/ganon
5.2M	results_20000/pipeline_info
18G	results_20000/diamond
143G	results_20000/bracken
22G	results_20000/centrifuge
1.3T	results_20000
2.8M	results_30000/multiqc
1.5K	results_30000/downstream_samplesheets
29G	results_30000/kaiju
72G	results_30000/metacache
170G	results_30000/kraken2
1.2T	results_30000/krakenuniq
28G	results_30000/kmcp
2.8G	results_30000/sylph
51G	results_30000/ganon
6.1M	results_30000/pipeline_info
26G	results_30000/diamond
199G	results_30000/bracken
32G	results_30000/centrifuge
1.8T	results_30000
2.8M	results_5000/multiqc
1.5K	results_5000/downstream_samplesheets
4.6G	results_5000/kaiju
15G	results_5000/metacache
48G	results_5000/kraken2
238G	results_5000/krakenuniq
6.8G	results_5000/kmcp
452M	results_5000/sylph
9.5G	results_5000/ganon
3.7M	results_5000/pipeline_info
4.3G	results_5000/diamond
51G	results_5000/bracken
5.2G	results_5000/centrifuge
381G	results_5000
