task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ad/3de1be	26247152	NFCORE_CREATETAXDB:CREATETAXDB:SYLPH_SKETCHGENOMES (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:32.991	1m 31s	20s	347.2%	717.4 MB	955.3 MB	11.4 GB	451.7 MB
4	c0/01a730	26247157	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_DNA (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:40.369	2m 23s	1m 51s	18.3%	16.2 MB	40.7 MB	11.5 GB	11.4 GB
1	36/1a15b2	26247156	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:38.824	3m 25s	2m 4s	15.9%	14.9 MB	40.7 MB	4.1 GB	4 GB
7	20/90bc63	26247158	NFCORE_CREATETAXDB:CREATETAXDB:GANON_BUILDCUSTOM (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:41.739	4m 22s	3m 24s	492.4%	13.1 GB	16.4 GB	36.5 GB	21.7 GB
6	de/1fc5bd	26247154	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:36.041	5m 28s	4m 9s	108.3%	80.4 MB	1.3 GB	4.1 GB	3.4 GB
12	31/21f838	26247196	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA_KAIJU (benchmark_5000)	COMPLETED	0	2026-04-11 07:03:18.648	2m 45s	2m 9s	14.0%	13.8 MB	40.7 MB	3.4 GB	3.4 GB
2	3e/14a775	26247155	NFCORE_CREATETAXDB:CREATETAXDB:METACACHE_BUILD (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:37.324	9m 26s	8m 19s	154.6%	28.2 GB	28.6 GB	11.9 GB	14.3 GB
8	84/6a9337	26247173	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_ADD (benchmark_5000)	COMPLETED	0	2026-04-11 07:00:05.667	11m 58s	10m 56s	103.1%	73.6 MB	99.8 MB	51.6 GB	40.2 GB
11	e6/a3bcbf	26247181	NFCORE_CREATETAXDB:CREATETAXDB:DIAMOND_MAKEDB (benchmark_5000)	COMPLETED	0	2026-04-11 07:01:03.916	11m	10m 44s	161.1%	3.2 GB	5.3 GB	52.7 GB	25.5 GB
10	0e/049756	26247175	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_COMPUTE (benchmark_5000)	COMPLETED	0	2026-04-11 07:00:05.940	14m 58s	14m 6s	255.4%	619.6 MB	1.3 GB	11.4 GB	68.5 GB
13	a5/966fc4	26247234	NFCORE_CREATETAXDB:CREATETAXDB:KAIJU_MKFMI (benchmark_5000)	COMPLETED	0	2026-04-11 07:06:04.549	8m 59s	7m 51s	347.1%	9.9 GB	12.4 GB	7.3 GB	8.4 GB
15	19/8f3534	26247347	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_INDEX (benchmark_5000)	COMPLETED	0	2026-04-11 07:15:03.975	6m	5m 19s	397.4%	5.9 GB	6.7 GB	68.5 GB	6.7 GB
9	1b/679cfc	26247174	NFCORE_CREATETAXDB:CREATETAXDB:CENTRIFUGE_BUILD (benchmark_5000)	COMPLETED	0	2026-04-11 07:00:05.813	54m 58s	53m 21s	527.3%	167.9 GB	180.7 GB	119.6 GB	95.6 GB
14	65/23c8c4	26247330	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_BUILD (benchmark_5000)	COMPLETED	0	2026-04-11 07:12:03.987	47m	46m 10s	3075.0%	42.8 GB	47.1 GB	52.3 GB	39.8 GB
16	9d/bf1758	26248342	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:BRACKEN_BUILD (benchmark_5000)	COMPLETED	0	2026-04-11 07:59:04.649	6m 59s	6m 17s	799.0%	57.2 GB	59.1 GB	34.4 GB	3.3 GB
5	ed/91a56d	26247153	NFCORE_CREATETAXDB:CREATETAXDB:KRAKENUNIQ_BUILD (benchmark_5000)	COMPLETED	0	2026-04-11 06:57:34.603	2h 17m 29s	2h 16m 23s	500.9%	138.8 GB	143.4 GB	322.1 GB	390.5 GB
17	cb/c8c901	26249789	NFCORE_CREATETAXDB:CREATETAXDB:MULTIQC	COMPLETED	0	2026-04-11 09:15:05.435	58.5s	11.3s	34.6%	164.9 MB	1004.9 MB	71.1 MB	17.1 MB
