task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	1c/0e724e	27011554	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_lar)	CACHED	0	2026-05-08 17:09:31.508	10m 56s	8m 57s	668.4%	80 GB	81.2 GB	12.8 GB	5.5 GB
1	f3/6e3e47	27011552	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_sma)	CACHED	0	2026-05-08 17:09:31.298	1m 55s	11.8s	313.7%	5.6 GB	6.5 GB	242.7 MB	72.5 MB
5	64/3216bf	27011551	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_lar)	CACHED	0	2026-05-08 17:09:31.162	13m 56s	12m 37s	198.7%	6.3 GB	40.3 GB	12.8 GB	3.8 MB
4	3e/c90eb7	27011550	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_med)	CACHED	0	2026-05-08 17:09:31.028	2m 55s	1m 42s	1153.7%	6.3 GB	7.3 GB	5.6 GB	3.2 GB
2	87/2cac34	27011553	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_sma)	CACHED	0	2026-05-08 17:09:31.401	1m 55s	16s	153.1%	4.7 GB	40.3 GB	194.9 MB	3.9 MB
3	32/d63b21	27011555	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_med)	CACHED	0	2026-05-08 17:09:31.669	6m 55s	4m 56s	196.6%	7.4 GB	40.3 GB	5.5 GB	4.1 MB
8	cc/415bc2	27011573	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_sma)	CACHED	0	2026-05-08 17:11:28.519	57.6s	5.6s	317.3%	911.8 MB	41.9 GB	656.2 MB	649.1 MB
10	de/9ced44	27011576	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_med)	CACHED	0	2026-05-08 17:12:28.384	2m 59s	1m 21s	863.8%	4.7 GB	42.3 GB	30.6 GB	30.5 GB
12	62/59d4f3	27011577	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_med)	CACHED	0	2026-05-08 17:12:28.523	4m 59s	2m 55s	83.2%	5.6 MB	209.3 MB	8.7 GB	7 GB
11	22/ab8156	27011572	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_sma)	CACHED	0	2026-05-08 17:11:28.384	57.7s	6s	127.3%	5.6 MB	209.4 MB	265.6 MB	150.8 MB
