3.5K	results_illumina_1000/bowtie2
42M	results_illumina_1000/multiqc
97M	results_illumina_1000/metaphlan
3.9M	results_illumina_1000/nonpareil
3.0G	results_illumina_1000/kaiju
8.2M	results_illumina_1000/motus
3.3G	results_illumina_1000/metacache
1.6M	results_illumina_1000/krona
258K	results_illumina_1000/kraken2
450K	results_illumina_1000/taxpasta
514K	results_illumina_1000/krakenuniq
194K	results_illumina_1000/kmcp
5.5K	results_illumina_1000/sylph
773K	results_illumina_1000/ganon
386K	results_illumina_1000/samtools
7.1M	results_illumina_1000/pipeline_info
417M	results_illumina_1000/diamond
2.5K	results_illumina_1000/bbduk
2.0M	results_illumina_1000/fastp
14M	results_illumina_1000/fastqc
642K	results_illumina_1000/bracken
6.2G	results_illumina_1000/centrifuge
13G	results_illumina_1000
3.5K	results_illumina_2000/bowtie2
41M	results_illumina_2000/multiqc
97M	results_illumina_2000/metaphlan
3.9M	results_illumina_2000/nonpareil
3.0G	results_illumina_2000/kaiju
8.2M	results_illumina_2000/motus
3.3G	results_illumina_2000/metacache
2.2M	results_illumina_2000/krona
386K	results_illumina_2000/kraken2
514K	results_illumina_2000/taxpasta
706K	results_illumina_2000/krakenuniq
194K	results_illumina_2000/kmcp
5.5K	results_illumina_2000/sylph
1.5M	results_illumina_2000/ganon
386K	results_illumina_2000/samtools
7.1M	results_illumina_2000/pipeline_info
509M	results_illumina_2000/diamond
2.5K	results_illumina_2000/bbduk
2.0M	results_illumina_2000/fastp
14M	results_illumina_2000/fastqc
898K	results_illumina_2000/bracken
6.3G	results_illumina_2000/centrifuge
14G	results_illumina_2000
3.5K	results_illumina_5000/bowtie2
44M	results_illumina_5000/multiqc
97M	results_illumina_5000/metaphlan
3.9M	results_illumina_5000/nonpareil
3.0G	results_illumina_5000/kaiju
8.2M	results_illumina_5000/motus
3.4G	results_illumina_5000/metacache
3.4M	results_illumina_5000/krona
706K	results_illumina_5000/kraken2
834K	results_illumina_5000/taxpasta
1.3M	results_illumina_5000/krakenuniq
2.1M	results_illumina_5000/kmcp
5.5K	results_illumina_5000/sylph
2.7M	results_illumina_5000/ganon
386K	results_illumina_5000/samtools
3.8M	results_illumina_5000/pipeline_info
3.1G	results_illumina_5000/diamond
2.5K	results_illumina_5000/bbduk
2.0M	results_illumina_5000/fastp
14M	results_illumina_5000/fastqc
1.4M	results_illumina_5000/bracken
6.3G	results_illumina_5000/centrifuge
16G	results_illumina_5000
3.5M	results_illumina_10000/nonpareil
1.8M	results_illumina_10000/fastp
16K	results_illumina_10000/bbduk
2.0M	results_illumina_10000/bracken
6.4G	results_illumina_10000/centrifuge
1.9M	results_illumina_10000/krakenuniq
3.1G	results_illumina_10000/diamond
44K	results_illumina_10000/sylph
4.2M	results_illumina_10000/ganon
3.4G	results_illumina_10000/metacache
97M	results_illumina_10000/metaphlan
3.6M	results_illumina_10000/pipeline_info
8.2M	results_illumina_10000/motus
324K	results_illumina_10000/samtools
4.9M	results_illumina_10000/krona
13M	results_illumina_10000/fastqc
34M	results_illumina_10000/multiqc
3.0G	results_illumina_10000/kaiju
1.2M	results_illumina_10000/taxpasta
5.2M	results_illumina_10000/kmcp
20K	results_illumina_10000/bowtie2
1.2M	results_illumina_10000/kraken2
16G	results_illumina_10000
3.5M	results_illumina_20000/nonpareil
1.8M	results_illumina_20000/fastp
16K	results_illumina_20000/bbduk
3.4M	results_illumina_20000/bracken
6.7G	results_illumina_20000/centrifuge
3.0M	results_illumina_20000/krakenuniq
3.1G	results_illumina_20000/diamond
48K	results_illumina_20000/sylph
7.4M	results_illumina_20000/ganon
3.6G	results_illumina_20000/metacache
97M	results_illumina_20000/metaphlan
6.6M	results_illumina_20000/pipeline_info
8.2M	results_illumina_20000/motus
324K	results_illumina_20000/samtools
7.5M	results_illumina_20000/krona
13M	results_illumina_20000/fastqc
36M	results_illumina_20000/multiqc
3.0G	results_illumina_20000/kaiju
1.9M	results_illumina_20000/taxpasta
8.7M	results_illumina_20000/kmcp
20K	results_illumina_20000/bowtie2
1.8M	results_illumina_20000/kraken2
17G	results_illumina_20000
3.5M	results_illumina_30000/nonpareil
1.8M	results_illumina_30000/fastp
16K	results_illumina_30000/bbduk
4.5M	results_illumina_30000/bracken
7.1G	results_illumina_30000/centrifuge
3.8M	results_illumina_30000/krakenuniq
3.1G	results_illumina_30000/diamond
52K	results_illumina_30000/sylph
11M	results_illumina_30000/ganon
3.7G	results_illumina_30000/metacache
97M	results_illumina_30000/metaphlan
20M	results_illumina_30000/pipeline_info
8.2M	results_illumina_30000/motus
324K	results_illumina_30000/samtools
9.3M	results_illumina_30000/krona
13M	results_illumina_30000/fastqc
39M	results_illumina_30000/multiqc
3.1G	results_illumina_30000/kaiju
2.5M	results_illumina_30000/taxpasta
12M	results_illumina_30000/kmcp
20K	results_illumina_30000/bowtie2
2.3M	results_illumina_30000/kraken2
17G	results_illumina_30000
