task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	86/d04bf8	27490507	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (40_A49)	COMPLETED	0	2026-05-26 11:11:54.407	18m 56s	18m 9s	100.0%	5.5 GB	40.2 GB	14.8 GB	2 MB
7	7a/844731	27490505	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (35_A50)	COMPLETED	0	2026-05-26 11:11:54.025	19m 56s	19m 35s	100.3%	5.3 GB	40.2 GB	15.7 GB	2.3 MB
1	bf/425825	27490514	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (24_A46)	COMPLETED	0	2026-05-26 11:11:55.245	21m 57s	13m 55s	100.2%	4.5 GB	40.2 GB	11.3 GB	2 MB
9	d1/bd2871	27490511	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (43_A47)	COMPLETED	0	2026-05-26 11:11:54.885	25m 55s	25m 35s	100.1%	18 GB	40.2 GB	19.6 GB	2.3 MB
10	fc/7e5ed0	27490509	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (52_A48)	COMPLETED	0	2026-05-26 11:11:54.642	31m 56s	31m 38s	100.1%	5.9 GB	40.2 GB	24.5 GB	2.3 MB
5	1e/47a5c1	27490506	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (43_A47)	COMPLETED	0	2026-05-26 11:11:54.222	3h 20m 58s	3h 16m	455.9%	72.4 GB	74 GB	81.5 GB	61.7 GB
2	3f/f84936	27490508	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (24_A46)	COMPLETED	0	2026-05-26 11:11:54.521	5h 17m 59s	1h 55m 58s	457.8%	41.6 GB	43.1 GB	46.8 GB	35.5 GB
11	4d/01bf15	27493872	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (43_A47)	COMPLETED	0	2026-05-26 14:32:53.316	18h 21m 7s	1h 43m 38s	98.8%	53.4 MB	63.7 MB	19.5 GB	19.4 GB
4	3d/b0893c	27490510	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (40_A49)	COMPLETED	0	2026-05-26 11:11:54.766	21h 48m 6s	2h 30m 54s	463.7%	56.1 GB	57.6 GB	61.5 GB	46.6 GB
14	f6/66f42b	27504662	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (43_A47)	COMPLETED	0	2026-05-27 08:54:00.677	24m	18m 21s	526.6%	19 GB	21 GB	83.3 GB	75.2 GB
13	13/22d49c	27504661	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (43_A47)	COMPLETED	0	2026-05-27 08:54:00.558	26m	24m 54s	99.9%	7 GB	40.2 GB	19.4 GB	2.3 MB
3	78/8f6048	27490512	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (35_A50)	COMPLETED	0	2026-05-26 11:11:55.012	22h 9m 6s	2h 51m 12s	435.2%	58.3 GB	59.8 GB	65.3 GB	49.5 GB
17	0f/46faf2	27504899	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_STATS (43_A47)	COMPLETED	0	2026-05-27 09:18:01.720	9m 59s	8m 16s	135.7%	9.1 GB	9.3 GB	18.5 GB	346.2 MB
16	53/e3c134	27504898	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (43_A47)	COMPLETED	0	2026-05-27 09:18:01.583	22m 59s	20m 41s	83.7%	19.2 MB	290.4 MB	18.5 GB	18.3 GB
12	3c/18140c	27495169	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (24_A46)	COMPLETED	0	2026-05-26 16:29:53.942	17h 26m 7s	1h 2m 11s	94.3%	32.6 MB	60 MB	11.2 GB	11.1 GB
19	ac/3349c4	27505193	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (43_A47)	COMPLETED	0	2026-05-27 09:41:01.082	16m	15m 38s	85.4%	17.2 MB	245.1 MB	18.3 GB	19.7 GB
21	80/a1b6e2	27505271	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (24_A46)	COMPLETED	0	2026-05-27 09:56:01.049	11m	10m 25s	534.6%	18.7 GB	20.6 GB	52.2 GB	44.5 GB
24	93/55117a	27505341	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_STATS (24_A46)	COMPLETED	0	2026-05-27 10:07:02.618	4m 58s	4m 36s	136.1%	544.3 MB	686.2 MB	10.6 GB	27.3 MB
20	0e/3214f1	27505272	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (24_A46)	COMPLETED	0	2026-05-27 09:56:01.183	19m	13m 36s	99.8%	3.8 GB	40.2 GB	11.1 GB	2 MB
23	35/dd23ae	27505343	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (24_A46)	COMPLETED	0	2026-05-27 10:07:02.738	11m 58s	11m 33s	86.8%	17.6 MB	224.4 MB	10.6 GB	10.5 GB
25	db/95dc57	27505715	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (24_A46)	COMPLETED	0	2026-05-27 10:19:01.350	9m	8m 11s	93.0%	15.9 MB	245.1 MB	10.5 GB	11.3 GB
6	65/82b3a5	27490513	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (52_A48)	COMPLETED	0	2026-05-26 11:11:55.126	23h 33m 6s	4h 14m 44s	438.7%	90.1 GB	91.6 GB	101.7 GB	77 GB
15	92/3c5ce0	27504764	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (40_A49)	COMPLETED	0	2026-05-27 09:00:00.605	1h 46m 1s	1h 16m 38s	99.5%	45.3 MB	60.2 MB	14.7 GB	14.4 GB
