task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	0f/a4c318	27417906	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (43_A47)	CACHED	0	2026-05-22 07:20:18.433	28m 56s	27m 25s	100.4%	7.2 GB	40.2 GB	19.6 GB	2.3 MB
3	a4/8c2d72	27417912	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (35_A50)	CACHED	0	2026-05-22 07:20:19.459	22m 55s	21m 11s	100.3%	5.3 GB	40.2 GB	15.7 GB	2.3 MB
10	b3/510255	27417913	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (52_A48)	CACHED	0	2026-05-22 07:20:19.567	36m 55s	33m 1s	100.4%	5.4 GB	40.2 GB	24.5 GB	2.3 MB
9	b8/96a05c	27417914	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (52_A48)	CACHED	0	2026-05-22 07:20:19.670	5h 7m 56s	4h 50m 11s	433.7%	90.1 GB	91.6 GB	101.7 GB	77 GB
2	df/51f60c	27417907	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (24_A46)	CACHED	0	2026-05-22 07:20:18.702	16m 56s	14m 29s	100.4%	5.5 GB	40.3 GB	11.3 GB	2 MB
5	36/f3f541	27417909	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (40_A49)	CACHED	0	2026-05-22 07:20:19.096	21m 55s	19m 40s	100.2%	5.1 GB	40.2 GB	14.8 GB	2 MB
8	ca/af11b7	27417908	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (43_A47)	CACHED	0	2026-05-22 07:20:18.918	3h 24m 56s	3h 15m 26s	459.8%	72.4 GB	74 GB	81.5 GB	61.7 GB
4	55/ebf16e	27417910	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (35_A50)	CACHED	0	2026-05-22 07:20:19.233	3h 27m 56s	3h 12m 37s	426.9%	58.3 GB	59.7 GB	65.3 GB	49.5 GB
6	0f/f6206e	27417911	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (40_A49)	CACHED	0	2026-05-22 07:20:19.340	3h 20m 56s	3h 3m 20s	427.4%	56.2 GB	57.6 GB	61.5 GB	46.6 GB
1	2b/5700f9	27417915	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (24_A46)	CACHED	0	2026-05-22 07:20:19.791	2h 36m 55s	2h 2m 40s	469.2%	41.5 GB	43.1 GB	46.8 GB	35.5 GB
