34M	results_ont_1000/multiqc
3.5K	results_ont_1000/nanoq
38M	results_ont_1000/melon
459M	results_ont_1000/kaiju
13M	results_ont_1000/motus
570M	results_ont_1000/metacache
2.8M	results_ont_1000/krona
3.4M	results_ont_1000/kraken2
514K	results_ont_1000/taxpasta
962K	results_ont_1000/krakenuniq
7.5K	results_ont_1000/sylph
661M	results_ont_1000/samtools
3.7M	results_ont_1000/pipeline_info
563M	results_ont_1000/diamond
111M	results_ont_1000/porechop_abi
12M	results_ont_1000/fastqc
1.1G	results_ont_1000/centrifuge
3.5G	results_ont_1000
37M	results_ont_10000/multiqc
3.5K	results_ont_10000/nanoq
38M	results_ont_10000/melon
468M	results_ont_10000/kaiju
13M	results_ont_10000/motus
661M	results_ont_10000/metacache
5.8M	results_ont_10000/krona
3.4M	results_ont_10000/kraken2
1.2M	results_ont_10000/taxpasta
4.4M	results_ont_10000/krakenuniq
325K	results_ont_10000/sylph
661M	results_ont_10000/samtools
3.7M	results_ont_10000/pipeline_info
573M	results_ont_10000/diamond
111M	results_ont_10000/porechop_abi
12M	results_ont_10000/fastqc
1.4G	results_ont_10000/centrifuge
3.9G	results_ont_10000
34M	results_ont_2000/multiqc
3.5K	results_ont_2000/nanoq
38M	results_ont_2000/melon
459M	results_ont_2000/kaiju
13M	results_ont_2000/motus
600M	results_ont_2000/metacache
3.2M	results_ont_2000/krona
3.4M	results_ont_2000/kraken2
642K	results_ont_2000/taxpasta
1.3M	results_ont_2000/krakenuniq
7.5K	results_ont_2000/sylph
661M	results_ont_2000/samtools
3.7M	results_ont_2000/pipeline_info
564M	results_ont_2000/diamond
111M	results_ont_2000/porechop_abi
12M	results_ont_2000/fastqc
1.2G	results_ont_2000/centrifuge
3.6G	results_ont_2000
43M	results_ont_20000/multiqc
3.5K	results_ont_20000/nanoq
38M	results_ont_20000/melon
475M	results_ont_20000/kaiju
13M	results_ont_20000/motus
683M	results_ont_20000/metacache
9.9M	results_ont_20000/krona
7.9M	results_ont_20000/kraken2
1.9M	results_ont_20000/taxpasta
7.3M	results_ont_20000/krakenuniq
389K	results_ont_20000/sylph
661M	results_ont_20000/samtools
11M	results_ont_20000/pipeline_info
580M	results_ont_20000/diamond
111M	results_ont_20000/porechop_abi
12M	results_ont_20000/fastqc
1.4G	results_ont_20000/centrifuge
4.0G	results_ont_20000
35M	results_ont_5000/multiqc
3.5K	results_ont_5000/nanoq
38M	results_ont_5000/melon
464M	results_ont_5000/kaiju
13M	results_ont_5000/motus
638M	results_ont_5000/metacache
4.3M	results_ont_5000/krona
3.4M	results_ont_5000/kraken2
898K	results_ont_5000/taxpasta
2.6M	results_ont_5000/krakenuniq
71K	results_ont_5000/sylph
661M	results_ont_5000/samtools
11M	results_ont_5000/pipeline_info
569M	results_ont_5000/diamond
111M	results_ont_5000/porechop_abi
12M	results_ont_5000/fastqc
1.3G	results_ont_5000/centrifuge
3.8G	results_ont_5000
111M    results_ont_30000/porechop_abi
1.5G    results_ont_30000/centrifuge
9.7M    results_ont_30000/krakenuniq
582M    results_ont_30000/diamond
128K    results_ont_30000/sylph
691M    results_ont_30000/metacache
18M     results_ont_30000/pipeline_info
13M     results_ont_30000/motus
661M    results_ont_30000/samtools
13M     results_ont_30000/krona
37M     results_ont_30000/melon
24K     results_ont_30000/nanoq
12M     results_ont_30000/fastqc
38M     results_ont_30000/multiqc
478M    results_ont_30000/kaiju
2.4M    results_ont_30000/taxpasta
11M     results_ont_30000/kraken2
4.1G    results_ont_30000
