28M	results_ont_10000_k2/multiqc
3.5K	results_ont_10000_k2/nanoq
2.3M	results_ont_10000_k2/krona
5.1M	results_ont_10000_k2/kraken2
321K	results_ont_10000_k2/taxpasta
661M	results_ont_10000_k2/samtools
14M	results_ont_10000_k2/pipeline_info
111M	results_ont_10000_k2/porechop_abi
12M	results_ont_10000_k2/fastqc
831M	results_ont_10000_k2
25M	results_ont_1000_k2/multiqc
3.5K	results_ont_1000_k2/nanoq
705K	results_ont_1000_k2/krona
1.3M	results_ont_1000_k2/kraken2
65K	results_ont_1000_k2/taxpasta
661M	results_ont_1000_k2/samtools
514K	results_ont_1000_k2/pipeline_info
111M	results_ont_1000_k2/porechop_abi
12M	results_ont_1000_k2/fastqc
810M	results_ont_1000_k2
25M	results_ont_2000_k2/multiqc
3.5K	results_ont_2000_k2/nanoq
961K	results_ont_2000_k2/krona
1.9M	results_ont_2000_k2/kraken2
129K	results_ont_2000_k2/taxpasta
661M	results_ont_2000_k2/samtools
3.6M	results_ont_2000_k2/pipeline_info
111M	results_ont_2000_k2/porechop_abi
12M	results_ont_2000_k2/fastqc
814M	results_ont_2000_k2
