id,taxid,fasta_dna,fasta_aa
GCF_001755445.1,3426109,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001755445.1/GCF_001755445.1_ViralProj344490_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001755445.1/GCF_001755445.1_ViralProj344490_protein.faa
GCF_014353015.1,356302,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_014353015.1/GCF_014353015.1_ASM1435301v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_014353015.1/GCF_014353015.1_ASM1435301v1_protein.faa
GCF_020488415.1,3059704,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_020488415.1/GCF_020488415.1_ASM2048841v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_020488415.1/GCF_020488415.1_ASM2048841v1_protein.faa
GCF_035321705.1,76857,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_035321705.1/GCF_035321705.1_ASM3532170v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_035321705.1/GCF_035321705.1_ASM3532170v1_protein.faa
GCF_030378205.1,3049772,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_030378205.1/GCF_030378205.1_ASM3037820v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_030378205.1/GCF_030378205.1_ASM3037820v1_protein.faa
GCF_003726755.1,1519392,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003726755.1/GCF_003726755.1_ASM372675v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003726755.1/GCF_003726755.1_ASM372675v1_protein.faa
GCF_041434035.1,47759,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_041434035.1/GCF_041434035.1_ASM4143403v2_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_041434035.1/GCF_041434035.1_ASM4143403v2_protein.faa
GCF_001963215.1,1922687,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001963215.1/GCF_001963215.1_ViralProj361946_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001963215.1/GCF_001963215.1_ViralProj361946_protein.faa
GCF_009903625.1,1516059,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_009903625.1/GCF_009903625.1_ASM990362v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_009903625.1/GCF_009903625.1_ASM990362v1_protein.faa
GCF_007970665.1,496014,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_007970665.1/GCF_007970665.1_ASM797066v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_007970665.1/GCF_007970665.1_ASM797066v1_protein.faa
