run_accession	study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	fastq_bytes	fastq_md5	fastq_ftp	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_format	sra_ftp	sample_alias	sample_title	bam_ftp
ERR5766169	PRJEB44507	SAMEA8614983	ERS6299591	ERX5474925	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2610_66_142_S2	100	PAIRED	WGS	METAGENOMIC	RANDOM	117159708	3310836283;3478351421	9e37751ab71367bb0f267ae3aa78f91c;e133a526a6016e3a600ccb0e48de8eaf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/009/ERR5766169/ERR5766169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/009/ERR5766169/ERR5766169_2.fastq.gz	3504950122;3686184161	6ec3b135ef5b23ca679b49e06bad67ad;ece7de7dcdca7e8804b73e8b2eafbbfe	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766169/2610_66_142_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766169/2610_66_142_S2_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766169/2610_66_142_S2_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766169/2610_66_142_S2_R2_001.fastq.gz	FASTQ;FASTQ		2610	Human paleofeces, Eurac ID 2610	ftp.sra.ebi.ac.uk/vol1/err/ERR576/009/ERR5766169.bam
ERR5766171	PRJEB44507	SAMEA8614984	ERS6299592	ERX5474927	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	2611-45-135_S19	150	PAIRED	WGS	METAGENOMIC	RANDOM	3242894	146490907;159042910	28490d7562dc142ae314ced23689e1a5;c42ea80f2600fc2acb790a049b3df6f1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/001/ERR5766171/ERR5766171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/001/ERR5766171/ERR5766171_2.fastq.gz	169876865;183707739	921b269c5e5768e13882d54fa3fb6e6f;54b8e1dad9f5196557e6e0d055638e86	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766171/2611-45-135_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766171/2611-45-135_S19_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766171/2611-45-135_S19_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766171/2611-45-135_S19_L001_R2_001.fastq.gz	FASTQ;FASTQ		2611	Human paleofeces, Eurac ID 2611	ftp.sra.ebi.ac.uk/vol1/err/ERR576/001/ERR5766171.bam
ERR5766173	PRJEB44507	SAMEA8614984	ERS6299592	ERX5474929	9606	Homo sapiens	ILLUMINA	HiSeq X Ten	2611_45_135	150	PAIRED	WGS	METAGENOMIC	RANDOM	212742092	7025867375;7262854061	35472287e779b678f1c16bf819bef99f;4a7543650f4a33e82541d8305f71d112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/003/ERR5766173/ERR5766173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/003/ERR5766173/ERR5766173_2.fastq.gz	7360219743;7609778764	e01cf0d5f2bb7c512337aaa597b65f79;61a86d62b429c713c427a0ab0618ec14	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766173/2611_45_135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766173/2611_45_135_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766173/2611_45_135_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766173/2611_45_135_2.fastq.gz	FASTQ;FASTQ		2611	Human paleofeces, Eurac ID 2611	ftp.sra.ebi.ac.uk/vol1/err/ERR576/003/ERR5766173.bam
ERR5766176	PRJEB44507	SAMEA8614985	ERS6299593	ERX5474932	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	2612-57-136_S20	150	PAIRED	WGS	METAGENOMIC	RANDOM	1264120	60596160;67298047	bf159f6df033191b3a61ae5ef4713e8e;77b759d6d991dd4dfd33d76e9ceab86a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/006/ERR5766176/ERR5766176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/006/ERR5766176/ERR5766176_2.fastq.gz	70166363;77134838	d7e8326dbb018222effa6c8ba72b8953;2c5b68652010ac05702f8afbb7bf91cf	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766176/2612-57-136_S20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766176/2612-57-136_S20_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766176/2612-57-136_S20_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766176/2612-57-136_S20_L001_R2_001.fastq.gz	FASTQ;FASTQ		2612	Human paleofeces, Eurac ID 2612	ftp.sra.ebi.ac.uk/vol1/err/ERR576/006/ERR5766176.bam
ERR5766177	PRJEB44507	SAMEA8614985	ERS6299593	ERX5474933	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2612_57_136_S4	100	PAIRED	WGS	METAGENOMIC	RANDOM	153462012	4828187231;5031579014	5f44cc16664db5428c873d451fad4c59;1e7230e4b63a125f90d771977d793e80	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/007/ERR5766177/ERR5766177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/007/ERR5766177/ERR5766177_2.fastq.gz	5082585414;5285363047	1acc2f341a79b8364ba18bcbb00f1f14;ed84e4c63740ff704fd822d37e7ee56a	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766177/2612_57_136_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766177/2612_57_136_S4_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766177/2612_57_136_S4_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766177/2612_57_136_S4_R2_001.fastq.gz	FASTQ;FASTQ		2612	Human paleofeces, Eurac ID 2612	ftp.sra.ebi.ac.uk/vol1/err/ERR576/007/ERR5766177.bam
ERR5766182	PRJEB44507	SAMEA8614985	ERS6299593	ERX5474938	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2613_60_137_S5	100	PAIRED	WGS	METAGENOMIC	RANDOM	138836358	4332353625;4420486328	64e63df8da7542957d1d9eb08e764d38;3fc6cba02c74d5f00cd9753da4787715	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/002/ERR5766182/ERR5766182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/002/ERR5766182/ERR5766182_2.fastq.gz	4555401629;4644563213	9a5d83d4535a581f0c292e07b774d5b9;500b6859f62b9e4a6d571f034ad7bda4	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766182/2613_60_137_S5_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766182/2613_60_137_S5_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766182/2613_60_137_S5_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766182/2613_60_137_S5_R2_001.fastq.gz	FASTQ;FASTQ		2612	Human paleofeces, Eurac ID 2612	ftp.sra.ebi.ac.uk/vol1/err/ERR576/002/ERR5766182.bam
ERR5766165	PRJEB44507	SAMEA8614982	ERS6299590	ERX5474921	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	2604-31-130_S12	150	PAIRED	WGS	METAGENOMIC	RANDOM	2004080	92818657;98611542	5239dc2ea9ad0339ca556255bae48c2e;7bc90b4f380d6c8b3917293f665a62b4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/005/ERR5766165/ERR5766165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/005/ERR5766165/ERR5766165_2.fastq.gz	107075784;113369967	b188356c3b21dfc3717dfbc1fdc4d935;e13f11a0e628f5c09732defb6202d7f1	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766165/2604-31-130_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766165/2604-31-130_S12_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766165/2604-31-130_S12_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766165/2604-31-130_S12_L001_R2_001.fastq.gz	FASTQ;FASTQ		2604	Human paleofeces, Eurac ID 2604	ftp.sra.ebi.ac.uk/vol1/err/ERR576/005/ERR5766165.bam
ERR5766167	PRJEB44507	SAMEA8614982	ERS6299590	ERX5474923	9606	Homo sapiens	ILLUMINA	HiSeq X Ten	2604_31_130	150	PAIRED	WGS	METAGENOMIC	RANDOM	209811616	6841632751;6888536888	8ab0736a30ed0a7622c13da69a607812;599613763bac08ef461aa961429ad774	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/007/ERR5766167/ERR5766167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/007/ERR5766167/ERR5766167_2.fastq.gz	7162017212;7209368151	4084cb89608ed5d635c5d4d73b2ffe69;ec8014dead56a81d56a0f3deb08758c7	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766167/2604_31_130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766167/2604_31_130_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766167/2604_31_130_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766167/2604_31_130_2.fastq.gz	FASTQ;FASTQ		2604	Human paleofeces, Eurac ID 2604	ftp.sra.ebi.ac.uk/vol1/err/ERR576/007/ERR5766167.bam
ERR5766168	PRJEB44507	SAMEA8614983	ERS6299591	ERX5474924	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	2610-66-142_S18	150	PAIRED	WGS	METAGENOMIC	RANDOM	1918168	86924236;100734798	60e00d5693db67a3e3df801bb7510847;29b16295aa259e35513575172f5a4db1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/008/ERR5766168/ERR5766168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/008/ERR5766168/ERR5766168_2.fastq.gz	100720698;116013177	9fc48d7faccef4cadd3ec89bb31532bf;71d4aefa1e53a4bfa844a562cc1ac2b5	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766168/2610-66-142_S18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766168/2610-66-142_S18_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766168/2610-66-142_S18_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766168/2610-66-142_S18_L001_R2_001.fastq.gz	FASTQ;FASTQ		2610	Human paleofeces, Eurac ID 2610	ftp.sra.ebi.ac.uk/vol1/err/ERR576/008/ERR5766168.bam
ERR5766172	PRJEB44507	SAMEA8614984	ERS6299592	ERX5474928	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2611_45_135_S3	100	PAIRED	WGS	METAGENOMIC	RANDOM	233478108	6537676793;6793610341	e051329e6ed4bf5700b9d7e7ff90f244;f26d8e85282bdf165634f39c6e0553fb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/002/ERR5766172/ERR5766172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR576/002/ERR5766172/ERR5766172_2.fastq.gz	6971875228;7244405230	79ed3db9a2420dae3645a62371f6aaee;42147afea2c80065917a6f062de7bbbe	ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766172/2611_45_135_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR576/ERR5766172/2611_45_135_S3_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766172/2611_45_135_S3_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR576/ERR5766172/2611_45_135_S3_R2_001.fastq.gz	FASTQ;FASTQ		2611	Human paleofeces, Eurac ID 2611	ftp.sra.ebi.ac.uk/vol1/err/ERR576/002/ERR5766172.bam
