taxonomy_id	name	rank	lineage	InfA-30_diamond.diamond	PI2-20_diamond.diamond	InfA-33_diamond.diamond	InfB-22_diamond.diamond	RSA-24_diamond.diamond	RSV-25_diamond.diamond
0				4891804	6883169	7202265	9561981	6055638	26649136
9606	Homo sapiens	species	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens	17932406	14461968	24109096	14605788	6228796	668595
131567	cellular organisms	cellular root	cellular organisms	238343	352628	355018	477918	108498	89891
2	Bacteria	domain	cellular organisms;Bacteria	4265	8696	7917	14895	382261	265064
1428	Bacillus thuringiensis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis	9364	10432	19665	12169	5419	409
33154	Opisthokonta	clade	cellular organisms;Eukaryota;Opisthokonta	1309	2033	3091	13001	1274	408
2759	Eukaryota	domain	cellular organisms;Eukaryota	5124	10935	10172	36413	9796	4122
3418716	Litorimonas sp. WD9-15	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Litorimonas;unclassified Litorimonas;Litorimonas sp. WD9-15	1	0	0	0	0	0
28211	Alphaproteobacteria	class	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria	1013	1695	1209	2333	874	137
543	Enterobacteriaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	138	3723	7333	63318	12187	932961
784	Orientia tsutsugamushi	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae;Orientia;Orientia tsutsugamushi	99	158	108	200	23	6
322104	Scheffersomyces stipitis CBS 6054	strain	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces stipitis;Scheffersomyces stipitis CBS 6054	477	1006	1898	6141	440	659
33988	Rickettsieae	tribe	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae	204	260	266	370	62	7
1760	Actinomycetes	class	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes	37	48	66	78	7380	12
32008	Burkholderia	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	752	1099	3342	7420	598	303
3423955	Dankookia sp. P2	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Dankookia;unclassified Dankookia;Dankookia sp. P2	151	303	199	435	54	4
1	root	no rank		101	515	488	2441	181093	3172
1224	Pseudomonadota	phylum	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota	158	1525	1357	2397	2383	321035
67082	BeAn 58058 virus	species	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Oryzopoxvirus;unclassified Oryzopoxvirus;BeAn 58058 virus	3	6	8	37	3	3
1236	Gammaproteobacteria	class	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria	38	1031	1278	3638	28432	396480
2999062	Brevibacterium sp. BRM-1	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium;unclassified Brevibacterium;Brevibacterium sp. BRM-1	1	0	0	0	0	0
2996318	unclassified Candidatus Tisiphia	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae;Candidatus Tisiphia;unclassified Candidatus Tisiphia	28	25	24	43	33	1
1280	Staphylococcus aureus	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	336	1008	1272	1524	83258	3684
85007	Mycobacteriales	order	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales	1	2	29	0	396	0
76775	Malassezia restricta	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta	35	43	22	59	8	0
12022	Escherichia phage MS2	no rank	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Emesvirus;Emesvirus zinderi;Escherichia phage MS2	185	858	1407	2148	2991	667
204441	Rhodospirillales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	26	58	41	101	11	0
43765	Corynebacterium amycolatum	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium amycolatum	55	183	71	487	602	44
