taxonomy_id	name	rank	lineage	barcode35_barcode35_diamond.diamond	barcode33_barcode33_diamond.diamond	barcode36_barcode36_diamond.diamond	barcode34_barcode34_diamond.diamond	barcode37_barcode37_diamond.diamond	barcode38_barcode38_diamond.diamond
9606	Homo sapiens	species	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens	531444	448082	677729	616905	312253	33499
131567	cellular organisms	cellular root	cellular organisms	5861	7465	7843	14621	5219	9693
0				639034	646311	877322	1119492	1261357	5744376
1428	Bacillus thuringiensis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis	155	159	322	286	92	20
1884475	Vibrio sp. 10N.261.54.E10	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;unclassified Vibrio;Vibrio sp. 10N.261.54.E10	409	433	693	414	436	810
76775	Malassezia restricta	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta	9	8	9	11	4	2
2082949	Microvirga sp. 17 mud 1-3	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;unclassified Microvirga;Microvirga sp. 17 mud 1-3	1	0	0	0	0	0
32008	Burkholderia	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	146	123	168	1830	118	85
28211	Alphaproteobacteria	class	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria	93	149	141	264	191	36
91347	Enterobacterales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales	30	78	101	440	3382	2813
1236	Gammaproteobacteria	class	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria	91	549	2177	9338	2603	930398
2851642	Microbacterium aurugineum	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium aurugineum	8	9	10	23	2	3
562	Escherichia coli	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	107	1002	4159	40995	742	1801885
2759	Eukaryota	domain	cellular organisms;Eukaryota	110	212	192	829	1513	100
1280	Staphylococcus aureus	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	94	81	175	200	45333	169
543	Enterobacteriaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	95	781	1608	21760	4839	376724
158836	Enterobacter hormaechei	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter hormaechei	26	15	27	59	41	41
2	Bacteria	domain	cellular organisms;Bacteria	96	286	491	1214	114486	51596
356	Hyphomicrobiales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	21	51	37	56	697	109
1279	Staphylococcus	genus	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	100	68	201	125	2098398	220
482957	Burkholderia lata	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia lata	2	0	0	0	0	0
33154	Opisthokonta	clade	cellular organisms;Eukaryota;Opisthokonta	63	87	78	163	27	7
12022	Escherichia phage MS2	no rank	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Emesvirus;Emesvirus zinderi;Escherichia phage MS2	27	108	179	360	562	246
119060	Burkholderiaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	2	347	1666	257	88	13
3342640	Roseomonas sp. CCTCC AB2023176	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;unclassified Roseomonas;Roseomonas sp. CCTCC AB2023176	2	1	1	3	0	0
672	Vibrio vulnificus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio vulnificus	6	70	402	1580	15	180025
1783272	Bacillati	kingdom	cellular organisms;Bacteria;Bacillati	6	10	7	45	67869	419
11250	human respiratory syncytial virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Pneumoviridae;Orthopneumovirus;Orthopneumovirus hominis;human respiratory syncytial virus	40	43	95	69	790931	140476
1224	Pseudomonadota	phylum	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota	33	509	224	572	567	79655
90241	Lwoffella lincolnii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Lwoffella;Lwoffella lincolnii	34	43	65	72	63	858633
1760	Actinomycetes	class	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes	45	72	54	143	2230	40
468	Moraxellaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae	34	175	230	1121	58	684457
85015	Nocardioidaceae	family	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae	6	17	13	30	5	3
475	Moraxella	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella	8	1114	477	7233	3	67941
3379134	Pseudomonadati	kingdom	cellular organisms;Bacteria;Pseudomonadati	7	16	19	148	47	16627
2560525	Human orthorubulavirus 2	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Orthorubulavirus laryngotracheitidis;Human orthorubulavirus 2	10	358147	18	18	17	32
208893	Human respiratory syncytial virus A	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Pneumoviridae;Orthopneumovirus;Orthopneumovirus hominis;human respiratory syncytial virus;Human respiratory syncytial virus A	4	9	13	8	158868	670
28100	Phyllobacterium	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium	23	54	59	116	2203	220
2211106	Thiomicrorhabdus aquaedulcis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thiomicrorhabdus;Thiomicrorhabdus aquaedulcis	1	0	0	0	1	0
3423955	Dankookia sp. P2	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Dankookia;unclassified Dankookia;Dankookia sp. P2	19	11	18	43	10	1
