taxonomy_id	name	rank	lineage	InfA-30_k2_pluspf.kraken2.kraken2.report	InfB-22_k2_pluspf.kraken2.kraken2.report	PI2-20_k2_pluspf.kraken2.kraken2.report	InfA-33_k2_pluspf.kraken2.kraken2.report	RSA-24_k2_pluspf.kraken2.kraken2.report	RSV-25_k2_pluspf.kraken2.kraken2.report
0				80081	539145	228222	65463	1142342	2092419
1	root	no rank		18811	58636	19261	35135	16516	7452
131567	cellular organisms	cellular root	cellular organisms	82919	319032	191633	136887	61240	19631
2759	Eukaryota	domain	cellular organisms;Eukaryota	602	3415	1146	991	717	305
33154	Opisthokonta	clade	cellular organisms;Eukaryota;Opisthokonta	269	463	37	152	50	65
33208	Metazoa	kingdom	cellular organisms;Eukaryota;Opisthokonta;Metazoa	0	0	0	0	0	0
6072	Eumetazoa	clade	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa	0	0	0	0	0	0
33213	Bilateria	clade	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria	0	0	0	0	0	0
33511	Deuterostomia	clade	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia	0	0	0	0	0	0
7711	Chordata	phylum	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata	0	0	0	0	0	0
89593	Craniata	subphylum	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata	0	0	0	0	0	0
7742	Vertebrata	clade	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata	0	0	0	0	0	0
7776	Gnathostomata	clade	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata	0	0	0	0	0	0
