id,taxid,fasta_dna,fasta_aa
GCF_000276705.2,1191061,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000276705.2/GCF_000276705.2.faa
GCF_000319575.2,1260251,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000319575.2/GCF_000319575.2.faa
GCF_000410515.1,1166130,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410515.1/GCF_000410515.1.faa
GCF_000410575.1,1331671,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410575.1/GCF_000410575.1.faa
GCF_000410995.1,1340495,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410995.1/GCF_000410995.1.faa
GCF_000410555.1,455434,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410555.1/GCF_000410555.1.faa
GCF_000401555.1,1288394,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000401555.1/GCF_000401555.1.faa
GCF_000408885.1,766760,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000408885.1/GCF_000408885.1.faa
GCF_000404225.1,1295009,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404225.1/GCF_000404225.1.faa
GCF_000404145.1,1232381,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404145.1/GCF_000404145.1.faa
GCF_000404185.1,1232383,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404185.1/GCF_000404185.1.faa
GCF_000403645.1,1333523,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000403645.1/GCF_000403645.1.faa
GCF_000317975.2,1234679,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000317975.2/GCF_000317975.2.faa
GCF_000404205.1,1313290,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404205.1/GCF_000404205.1.faa
GCF_000404245.1,1199191,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404245.1/GCF_000404245.1.faa
GCF_000404165.1,224719,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404165.1/GCF_000404165.1.faa
GCF_000402035.1,758793,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000402035.1/GCF_000402035.1.faa
GCF_000401175.1,1321370,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000401175.1/GCF_000401175.1.faa
GCF_000400955.1,1276229,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400955.1/GCF_000400955.1.faa
GCF_000400855.1,1116211,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400855.1/GCF_000400855.1.faa
GCF_000400935.1,1276227,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400935.1/GCF_000400935.1.faa
GCF_000400875.1,469607,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400875.1/GCF_000400875.1.faa
GCF_000400615.1,443149,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400615.1/GCF_000400615.1.faa
GCF_000400635.1,129921,,NA
GCF_000397205.1,1124983,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000397205.1/GCF_000397205.1.faa
GCF_000397185.1,980422,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000397185.1/GCF_000397185.1.faa
GCF_000397165.1,767453,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000397165.1/GCF_000397165.1.faa
GCF_000392435.1,1332188,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000392435.1/GCF_000392435.1.faa
GCF_000390245.1,1276647,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000390245.1/GCF_000390245.1.faa
GCF_000390265.1,243274,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000390265.1/GCF_000390265.1.faa
GCF_000390085.1,1199187,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000390085.1/GCF_000390085.1.faa
GCF_000389635.1,86416,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000389635.1/GCF_000389635.1.faa
GCF_000389965.1,649831,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000389965.1/GCF_000389965.1.faa
GCF_000367605.1,1255306,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367605.1/GCF_000367605.1.faa
GCF_000367585.1,1255305,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367585.1/GCF_000367585.1.faa
GCF_000367565.1,1255304,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367565.1/GCF_000367565.1.faa
GCF_000367545.1,1255303,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367545.1/GCF_000367545.1.faa
GCF_000385945.1,1303692,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385945.1/GCF_000385945.1.faa
GCF_000233715.2,767817,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000233715.2/GCF_000233715.2.faa
GCF_000387485.1,1155775,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000387485.1/GCF_000387485.1.faa
GCF_000385905.1,527001,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385905.1/GCF_000385905.1.faa
GCF_000385925.1,1302863,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385925.1/GCF_000385925.1.faa
GCF_000230975.2,670307,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000230975.2/GCF_000230975.2.faa
GCF_000242895.2,666686,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000242895.2/GCF_000242895.2.faa
GCF_000347675.2,745310,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000347675.2/GCF_000347675.2.faa
GCF_000385565.1,387631,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385565.1/GCF_000385565.1.faa
GCF_000300355.1,1200302,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000300355.1/GCF_000300355.1.faa
GCF_000376605.1,1236909,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376605.1/GCF_000376605.1.faa
GCF_000376705.1,1134454,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376705.1/GCF_000376705.1.faa
GCF_000380365.1,1283331,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000380365.1/GCF_000380365.1.faa
GCF_000380335.1,1283330,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000380335.1/GCF_000380335.1.faa
GCF_000376585.1,1236908,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376585.1/GCF_000376585.1.faa
GCF_000376625.1,1292033,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376625.1/GCF_000376625.1.faa
GCF_000376645.1,1316932,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376645.1/GCF_000376645.1.faa
GCF_000376665.1,504728,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376665.1/GCF_000376665.1.faa
GCF_000383005.1,1074919,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000383005.1/GCF_000383005.1.faa
GCF_000382985.1,1074919,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000382985.1/GCF_000382985.1.faa
GCF_000382965.1,1074919,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000382965.1/GCF_000382965.1.faa
GCF_000382905.1,1204414,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000382905.1/GCF_000382905.1.faa
GCF_000367625.1,1219359,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367625.1/GCF_000367625.1.faa
GCF_000321415.2,1255043,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000321415.2/GCF_000321415.2.faa
GCF_000364785.1,1262673,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000364785.1/GCF_000364785.1.faa
GCF_000364765.1,1263406,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000364765.1/GCF_000364765.1.faa
GCF_000367425.1,1286170,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367425.1/GCF_000367425.1.faa
GCF_000157355.2,565655,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000157355.2/GCF_000157355.2.faa
GCF_000300255.2,1236689,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000300255.2/GCF_000300255.2.faa
GCF_000626655.2,1457392,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000626655.2/GCF_000626655.2.faa
GCF_000367745.1,1305598,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367745.1/GCF_000367745.1.faa
GCF_000211055.1,869307,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000211055.1/GCF_000211055.1.faa
GCF_000211035.1,869306,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000211035.1/GCF_000211035.1.faa
GCF_000211015.1,869304,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000211015.1/GCF_000211015.1.faa
GCF_000210995.1,869303,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210995.1/GCF_000210995.1.faa
GCF_000319205.1,1216962,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000319205.1/GCF_000319205.1.faa
GCF_000367405.1,1290428,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367405.1/GCF_000367405.1.faa
GCF_000367205.1,1170318,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367205.1/GCF_000367205.1.faa
GCF_000364725.1,1234603,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000364725.1/GCF_000364725.1.faa
GCF_000364745.1,1241935,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000364745.1/GCF_000364745.1.faa
GCF_000211075.1,869311,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000211075.1/GCF_000211075.1.faa
GCF_000210755.1,722911,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210755.1/GCF_000210755.1.faa
GCF_000210735.1,718252,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210735.1/GCF_000210735.1.faa
GCF_000210715.1,651822,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210715.1/GCF_000210715.1.faa
GCF_000210695.1,649756,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210695.1/GCF_000210695.1.faa
GCF_000210655.1,718255,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210655.1/GCF_000210655.1.faa
GCF_000210595.1,751585,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210595.1/GCF_000210595.1.faa
GCF_000210575.1,717959,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210575.1/GCF_000210575.1.faa
GCF_000210095.1,213810,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210095.1/GCF_000210095.1.faa
GCF_000210075.1,657309,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210075.1/GCF_000210075.1.faa
GCF_000210055.1,657308,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210055.1/GCF_000210055.1.faa
GCF_000210035.1,657313,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210035.1/GCF_000210035.1.faa
GCF_000210015.1,657314,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000210015.1/GCF_000210015.1.faa
GCF_000209995.1,657315,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000209995.1/GCF_000209995.1.faa
GCF_000209955.1,657317,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000209955.1/GCF_000209955.1.faa
GCF_000209935.1,657318,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000209935.1/GCF_000209935.1.faa
GCF_000209855.1,657322,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000209855.1/GCF_000209855.1.faa
GCF_000209835.1,657323,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000209835.1/GCF_000209835.1.faa
GCF_000209735.1,496833,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000209735.1/GCF_000209735.1.faa
GCF_000143865.1,865867,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000143865.1/GCF_000143865.1.faa
GCF_000331445.1,1138877,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000331445.1/GCF_000331445.1.faa
GCF_000363905.1,1290427,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000363905.1/GCF_000363905.1.faa
GCF_000359525.1,1886,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000359525.1/GCF_000359525.1.faa
GCF_000359505.1,1280938,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000359505.1/GCF_000359505.1.faa
GCF_000319065.1,1071781,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000319065.1/GCF_000319065.1.faa
GCF_000318945.1,1071775,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000318945.1/GCF_000318945.1.faa
GCF_000319165.1,1075087,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000319165.1/GCF_000319165.1.faa
GCF_000318665.1,1071760,,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000318665.1/GCF_000318665.1.faa
