id,taxid,fasta_dna
GCF_000276705.2,1191061,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000276705.2/GCF_000276705.2_ASM27670v2_genomic.fna
GCF_000319575.2,1260251,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000319575.2/GCF_000319575.2_ASM31957v2_genomic.fna
GCF_000410515.1,1166130,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410515.1/GCF_000410515.1_ASM41051v1_genomic.fna
GCF_000410575.1,1331671,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410575.1/GCF_000410575.1_ASM41057v1_genomic.fna
GCF_000410995.1,1340495,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410995.1/GCF_000410995.1_ASM41099v1_genomic.fna
GCF_000410555.1,455434,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000410555.1/GCF_000410555.1_ASM41055v1_genomic.fna
GCF_000401555.1,1288394,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000401555.1/GCF_000401555.1_ASM40155v1_genomic.fna
GCF_000408885.1,766760,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000408885.1/GCF_000408885.1_ASM40888v1_genomic.fna
GCF_000404225.1,1295009,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404225.1/GCF_000404225.1_ASM40422v1_genomic.fna
GCF_000404145.1,1232381,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404145.1/GCF_000404145.1_ASM40414v1_genomic.fna
GCF_000404185.1,1232383,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404185.1/GCF_000404185.1_ASM40418v1_genomic.fna
GCF_000403645.1,1333523,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000403645.1/GCF_000403645.1_ASM40364v1_genomic.fna
GCF_000317975.2,1234679,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000317975.2/GCF_000317975.2_ASM31797v2_genomic.fna
GCF_000404205.1,1313290,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404205.1/GCF_000404205.1_ASM40420v1_genomic.fna
GCF_000404245.1,1199191,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404245.1/GCF_000404245.1_ASM40424v1_genomic.fna
GCF_000404165.1,224719,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000404165.1/GCF_000404165.1_ASM40416v1_genomic.fna
GCF_000402035.1,758793,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000402035.1/GCF_000402035.1_ASM40203v1_genomic.fna
GCF_000401175.1,1321370,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000401175.1/GCF_000401175.1_ASM40117v1_genomic.fna
GCF_000400955.1,1276229,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400955.1/GCF_000400955.1_ASM40095v1_genomic.fna
GCF_000400855.1,1116211,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400855.1/GCF_000400855.1_ASM40085v1_genomic.fna
GCF_000400935.1,1276227,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400935.1/GCF_000400935.1_ASM40093v1_genomic.fna
GCF_000400875.1,469607,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400875.1/GCF_000400875.1_ASM40087v1_genomic.fna
GCF_000400615.1,443149,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000400615.1/GCF_000400615.1_ASM40061v1_genomic.fna
GCF_000400635.1,129921,NA
GCF_000397205.1,1124983,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000397205.1/GCF_000397205.1_ASM39720v1_genomic.fna
GCF_000397185.1,980422,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000397185.1/GCF_000397185.1_ASM39718v1_genomic.fna
GCF_000397165.1,767453,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000397165.1/GCF_000397165.1_ASM39716v1_genomic.fna
GCF_000392435.1,1332188,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000392435.1/GCF_000392435.1_ASM39243v1_genomic.fna
GCF_000390245.1,1276647,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000390245.1/GCF_000390245.1_ASM39024v1_genomic.fna
GCF_000390265.1,243274,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000390265.1/GCF_000390265.1_ASM39026v1_genomic.fna
GCF_000390085.1,1199187,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000390085.1/GCF_000390085.1_ASM39008v1_genomic.fna
GCF_000389635.1,86416,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000389635.1/GCF_000389635.1_ASM38963v1_genomic.fna
GCF_000389965.1,649831,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000389965.1/GCF_000389965.1_ASM38996v1_genomic.fna
GCF_000367605.1,1255306,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367605.1/GCF_000367605.1_ASM36760v2_genomic.fna
GCF_000367585.1,1255305,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367585.1/GCF_000367585.1_ASM36758v2_genomic.fna
GCF_000367565.1,1255304,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367565.1/GCF_000367565.1_ASM36756v2_genomic.fna
GCF_000367545.1,1255303,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000367545.1/GCF_000367545.1_ASM36754v2_genomic.fna
GCF_000385945.1,1303692,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385945.1/GCF_000385945.1_ASM38594v1_genomic.fna
GCF_000233715.2,767817,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000233715.2/GCF_000233715.2_ASM23371v3_genomic.fna
GCF_000387485.1,1155775,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000387485.1/GCF_000387485.1_ASM38748v1_genomic.fna
GCF_000385905.1,527001,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385905.1/GCF_000385905.1_ASM38590v1_genomic.fna
GCF_000385925.1,1302863,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385925.1/GCF_000385925.1_ASM38592v1_genomic.fna
GCF_000230975.2,670307,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000230975.2/GCF_000230975.2_ASM23097v3_genomic.fna
GCF_000242895.2,666686,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000242895.2/GCF_000242895.2_ASM24289v3_genomic.fna
GCF_000347675.2,745310,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000347675.2/GCF_000347675.2_ASM34767v2_genomic.fna
GCF_000385565.1,387631,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000385565.1/GCF_000385565.1_ASM38556v1_genomic.fna
GCF_000300355.1,1200302,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000300355.1/GCF_000300355.1_ASM30035v3_genomic.fna
GCF_000376605.1,1236909,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376605.1/GCF_000376605.1_ASM37660v1_genomic.fna
GCF_000376705.1,1134454,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376705.1/GCF_000376705.1_ASM37670v1_genomic.fna
GCF_000380365.1,1283331,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000380365.1/GCF_000380365.1_ASM38036v1_genomic.fna
GCF_000380335.1,1283330,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000380335.1/GCF_000380335.1_ASM38033v1_genomic.fna
GCF_000376585.1,1236908,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376585.1/GCF_000376585.1_ASM37658v1_genomic.fna
GCF_000376625.1,1292033,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376625.1/GCF_000376625.1_ASM37662v1_genomic.fna
GCF_000376645.1,1316932,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376645.1/GCF_000376645.1_ASM37664v1_genomic.fna
GCF_000376665.1,504728,/Users/sofia.stamouli/Documents/taxprofiler-createtaxdb-paper/clinical_metagenomics/ncbi_genomes/ncbi_dataset/data/GCF_000376665.1/GCF_000376665.1_ASM37666v1_genomic.fna
