id,taxid,fasta_dna
GCF_000002455.1,227086,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002455.1_ASM245v1_genomic.fna.gz
GCF_000002495.2,242507,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002495.2_MG8_genomic.fna.gz
GCF_000002515.2,28985,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002515.2_ASM251v1_genomic.fna.gz
GCF_000002655.1,330879,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002655.1_ASM265v1_genomic.fna.gz
GCF_000002725.2,347515,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002725.2_ASM272v2_genomic.fna.gz
GCF_000002845.2,420245,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002845.2_ASM284v2_genomic.fna.gz
GCF_000002875.2,435258,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002875.2_ASM287v2_genomic.fna.gz
GCF_000002945.2,4896,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002945.2_ASM294v3_genomic.fna.gz
GCF_000002975.1,55529,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000002975.1_ASM297v1_genomic.fna.gz
GCF_000003225.4,5874,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000003225.4_ASM322v1_genomic.fna.gz
GCF_000003925.1,526997,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000003925.1_ASM392v1_genomic.fna.gz
GCF_000005825.2,398511,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000005825.2_ASM582v2_genomic.fna.gz
GCF_000005845.2,511145,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000005845.2_ASM584v2_genomic.fna.gz
GCF_000006445.2,284592,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006445.2_ASM644v2_genomic.fna.gz
GCF_000006605.1,306537,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006605.1_ASM660v1_genomic.fna.gz
GCF_000006625.1,273119,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006625.1_ASM662v1_genomic.fna.gz
GCF_000006645.1,187410,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006645.1_ASM664v1_genomic.fna.gz
GCF_000006665.1,155864,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006665.1_ASM666v1_genomic.fna.gz
GCF_000006685.1,243161,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006685.1_ASM668v1_genomic.fna.gz
GCF_000006725.1,160492,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006725.1_ASM672v1_genomic.fna.gz
GCF_000006745.1,243277,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006745.1_ASM674v1_genomic.fna.gz
GCF_000006765.1,208964,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006765.1_ASM676v1_genomic.fna.gz
GCF_000006785.2,160490,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006785.2_ASM678v2_genomic.fna.gz
GCF_000006805.1,64091,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006805.1_ASM680v1_genomic.fna.gz
GCF_000006825.1,272843,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006825.1_ASM682v1_genomic.fna.gz
GCF_000006845.1,242231,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006845.1_ASM684v1_genomic.fna.gz
GCF_000006865.1,272623,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006865.1_ASM686v1_genomic.fna.gz
GCF_000006885.1,170187,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006885.1_ASM688v1_genomic.fna.gz
GCF_000006905.1,190650,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006905.1_ASM690v1_genomic.fna.gz
GCF_000006925.2,198214,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006925.2_ASM692v2_genomic.fna.gz
GCF_000006945.2,99287,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006945.2_ASM694v2_genomic.fna.gz
GCF_000006965.1,266834,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/clinical_metagenomics/reference_genomes/downloaded_genomes/GCF_000006965.1_ASM696v1_genomic.fna.gz
