#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000762265.1	PRJNA224116	SAMN03085433	na	na	2162	2162	Methanobacterium formicicum	strain=BRM9	na	latest	Complete Genome	Major	Full	2014-10-02	ASM76226v1	PGgRc	GCA_000762265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1	na	na	na	haploid	archaea	2449987	2449987	41.5	1	1	1	NCBI RefSeq	GCF_000762265.1-RS_2025_12_04	2025-12-04	2452	2385	55	na
GCF_001889405.1	PRJNA224116	SAMN05756399	na	reference genome	2177	2177	Methanohalophilus halophilus	strain=Z-7982	na	latest	Complete Genome	Major	Full	2016-12-06	ASM188940v1	UBO	GCA_001889405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/405/GCF_001889405.1_ASM188940v1	na	assembly from type material	na	haploid	archaea	2022959	2022959	42.5	1	1	1	NCBI RefSeq	GCF_001889405.1-RS_2025_11_20	2025-11-20	2102	2029	55	na
GCF_055392295.1	PRJNA224116	SAMD00887397	na	na	2181	2181	Methanothermus sociabilis	strain=JCM 10723	na	latest	Complete Genome	Major	Full	2026-02-25	ASM5539229v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055392295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/392/295/GCF_055392295.1_ASM5539229v1	na	assembly from type material	na	haploid	archaea	1265941	1265941	31.5	1	1	1	NCBI RefSeq	GCF_055392295.1-RS_2026_02_24	2026-02-24	1375	1319	49	na
GCF_026684035.1	PRJNA224116	SAMN31875339	na	reference genome	2199	2199	Methanogenium organophilum	strain=DSM 3596	na	latest	Complete Genome	Major	Full	2022-12-06	ASM2668403v1	National Chung Hsing University	GCA_026684035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/684/035/GCF_026684035.1_ASM2668403v1	na	assembly from type material	na	haploid	archaea	2648164	2648164	50	1	1	1	NCBI RefSeq	GCF_026684035.1-RS_2025_12_10	2025-12-10	2603	2524	62	na
GCF_030247815.1	PRJNA224116	SAMN32970190	na	na	2209	2209	Methanosarcina mazei	strain=Mm Mut 203b	na	latest	Complete Genome	Major	Full	2023-06-09	ASM3024781v1	Christian-Albrechts-University Kiel	GCA_030247815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/247/815/GCF_030247815.1_ASM3024781v1	out of scope for the RefSeq project	na	na	haploid	archaea	4085600	4085600	41.5	1	1	1	NCBI RefSeq	GCF_030247815.1-RS_2025_06_08	2025-06-08	3520	3356	68	na
GCF_052657215.1	PRJNA224116	SAMN50925189	na	na	2226	2226	Methanococcoides methylutens	strain=Q3c	na	latest	Complete Genome	Major	Full	2025-09-18	ASM5265721v1	Miami University	GCA_052657215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/657/215/GCF_052657215.1_ASM5265721v1	na	na	na	haploid	archaea	2584604	2584604	43.5	1	1	1	NCBI RefSeq	GCF_052657215.1-RS_2025_09_16	2025-09-16	2555	2437	81	25319587
GCF_050563475.1	PRJNA224116	SAMN48547587	na	na	2246	2246	Haloferax volcanii	strain=PC0224	na	latest	Complete Genome	Major	Full	2025-05-26	ASM5056347v1	Chulabhorn Graduate Institute	GCA_050563475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/563/475/GCF_050563475.1_ASM5056347v1	na	na	na	haploid	archaea	3773977	3773977	66	4	4	4	NCBI RefSeq	GCF_050563475.1-RS_2025_05_26	2025-05-26	3834	3731	62	na
GCF_055382135.1	PRJNA224116	SAMD00887352	na	na	2262	2262	Pyrococcus woesei	strain=JCM 8421	na	latest	Complete Genome	Major	Full	2026-02-25	ASM5538213v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055382135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/382/135/GCF_055382135.1_ASM5538213v1	na	assembly from type material	na	haploid	archaea	1856505	1856505	40.5	1	1	1	NCBI RefSeq	GCF_055382135.1-RS_2026_02_24	2026-02-24	2063	1956	63	na
GCF_054696865.1	PRJNA224116	SAMN50264059	JBSLYP000000000.1	na	2269	2269	Thermofilum pendens	strain=DSM 2337	na	latest	Complete Genome	Major	Full	2026-01-23	ASM5469686v1	Portland State University	GCA_054696865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/696/865/GCF_054696865.1_ASM5469686v1	na	na	na	haploid	archaea	1825819	1825819	57.5	3	3	3	NCBI RefSeq	GCF_054696865.1-RS_2026_01_24	2026-01-24	1973	1905	49	na
GCF_055384425.1	PRJNA224116	SAMD00887344	na	na	2278	2278	Pyrobaculum organotrophum	strain=JCM 9190	na	latest	Complete Genome	Major	Full	2026-02-25	ASM5538442v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055384425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/384/425/GCF_055384425.1_ASM5538442v1	na	assembly from type material	na	haploid	archaea	1890320	1890320	49.5	1	1	1	NCBI RefSeq	GCF_055384425.1-RS_2026_02_24	2026-02-24	2293	2178	49	na
